date,area,category,complaint_type,severity,status,department,notes
2026-06-15,Lakeside,Roads,Broken streetlight,high,Open,Public Works,Third complaint from the same street.
2026-06-07,Green Valley,Public Health,Food safety,critical,In Progress,Health Dept,Recurring issue during monsoon.
2026-06-12,Riverside,Sanitation,Blocked sewer,high,Open,Sanitation Dept,Reported via city helpline.
2026-06-29,Riverside,Public Health,Mosquito breeding,medium,Resolved,Health Dept,Resident reported repeatedly this month.
2026-06-21,Green Valley,Sanitation,Public toilet issue,low,Open,Sanitation Dept,Photo evidence attached by citizen.
2026-06-13,Green Valley,Water Supply,Low pressure,medium,Open,Water Board,Third complaint from the same street.
2026-05-19,Harbor District,Sanitation,Stagnant water,critical,Escalated,Sanitation Dept,
2026-07-04,Riverside,Noise,Loud construction,low,In Progress,Environment Cell,Affects a school zone nearby.
2026-05-27,Lakeside,Public Health,Food safety,low,Resolved,Health Dept,Third complaint from the same street.
2026-06-21,Riverside,Public Health,Open garbage,low,Resolved,Health Dept,Resident reported repeatedly this month.
2026-06-29,Harbor District,Public Health,Mosquito breeding,low,Open,Health Dept,Resident reported repeatedly this month.
2026-07-03,Oak Hill,Water Supply,Contaminated water,medium,Resolved,Water Board,Third complaint from the same street.
2026-06-07,Harbor District,Public Health,Mosquito breeding,high,In Progress,Health Dept,Third complaint from the same street.
2026-05-16,Green Valley,Roads,Pothole,low,In Progress,Public Works,
2026-05-31,Harbor District,Sanitation,Stagnant water,low,Open,Sanitation Dept,Flagged by community volunteer.
2026-05-24,Riverside,Water Supply,Contaminated water,low,Open,Water Board,Escalated after no response in 72 hours.
2026-06-28,Riverside,Waste Collection,Missed pickup,high,In Progress,Sanitation Dept,Escalated after no response in 72 hours.
2026-05-28,Harbor District,Water Supply,Low pressure,high,Resolved,Water Board,
2026-05-17,Oak Hill,Public Health,Open garbage,medium,Resolved,Health Dept,Resident reported repeatedly this month.
2026-06-22,Old Town,Public Health,Food safety,medium,Resolved,Health Dept,Resident reported repeatedly this month.
2026-05-19,Midtown,Waste Collection,Missed pickup,high,Open,Sanitation Dept,Affects a school zone nearby.
2026-06-01,Oak Hill,Sanitation,Blocked sewer,medium,Resolved,Sanitation Dept,Recurring issue during monsoon.
2026-05-27,Harbor District,Noise,Loud construction,high,In Progress,Environment Cell,Recurring issue during monsoon.
2026-06-30,Green Valley,Sanitation,Stagnant water,high,Resolved,Sanitation Dept,Photo evidence attached by citizen.
2026-05-28,Harbor District,Noise,Traffic noise,high,Open,Environment Cell,Escalated after no response in 72 hours.
2026-06-11,Midtown,Roads,Blocked drain,medium,Open,Public Works,Recurring issue during monsoon.
2026-06-25,Oak Hill,Roads,Blocked drain,low,Escalated,Public Works,Resident reported repeatedly this month.
2026-05-12,Riverside,Roads,Broken streetlight,high,Open,Public Works,Recurring issue during monsoon.
2026-06-06,Harbor District,Noise,Industrial noise,medium,Resolved,Environment Cell,Recurring issue during monsoon.
2026-05-19,Midtown,Roads,Broken streetlight,low,Open,Public Works,Flagged by community volunteer.
2026-06-15,Lakeside,Water Supply,Leak,low,In Progress,Water Board,Escalated after no response in 72 hours.
2026-07-04,Riverside,Waste Collection,Delayed collection,high,Open,Sanitation Dept,Recurring issue during monsoon.
2026-06-26,North Gate,Sanitation,Public toilet issue,low,Resolved,Sanitation Dept,Reported via city helpline.
2026-07-03,Riverside,Waste Collection,Delayed collection,high,In Progress,Sanitation Dept,Photo evidence attached by citizen.
2026-07-01,Riverside,Waste Collection,Overflowing bin,high,Resolved,Sanitation Dept,Reported via city helpline.
2026-06-30,North Gate,Waste Collection,Illegal dumping,low,Resolved,Sanitation Dept,Photo evidence attached by citizen.
2026-06-19,Old Town,Roads,Pothole,low,Resolved,Public Works,Resident reported repeatedly this month.
2026-06-03,Riverside,Waste Collection,Missed pickup,medium,Open,Sanitation Dept,Affects a school zone nearby.
2026-06-29,Riverside,Public Health,Stray animals,high,Open,Health Dept,Resident reported repeatedly this month.
2026-06-28,Riverside,Waste Collection,Overflowing bin,high,In Progress,Sanitation Dept,Affects a school zone nearby.
2026-05-14,Old Town,Water Supply,Low pressure,low,Resolved,Water Board,Escalated after no response in 72 hours.
2026-06-11,Midtown,Roads,Broken streetlight,medium,Resolved,Public Works,Flagged by community volunteer.
2026-06-15,North Gate,Public Health,Open garbage,medium,Resolved,Health Dept,Affects a school zone nearby.
2026-06-10,North Gate,Noise,Late-night party,low,Resolved,Environment Cell,
2026-06-23,Old Town,Roads,Pothole,low,Open,Public Works,Affects a school zone nearby.
2026-06-02,Lakeside,Waste Collection,Illegal dumping,high,In Progress,Sanitation Dept,Reported via city helpline.
2026-05-30,Harbor District,Sanitation,Foul smell,medium,Open,Sanitation Dept,Escalated after no response in 72 hours.
2026-07-04,Riverside,Waste Collection,Delayed collection,medium,In Progress,Sanitation Dept,
2026-06-21,Midtown,Public Health,Food safety,medium,In Progress,Health Dept,Photo evidence attached by citizen.
2026-06-29,Riverside,Noise,Traffic noise,high,In Progress,Environment Cell,Affects a school zone nearby.
2026-05-14,North Gate,Noise,Industrial noise,high,Resolved,Environment Cell,Escalated after no response in 72 hours.
2026-06-02,Lakeside,Public Health,Food safety,medium,Resolved,Health Dept,Photo evidence attached by citizen.
2026-06-27,North Gate,Public Health,Open garbage,medium,Open,Health Dept,Flagged by community volunteer.
2026-06-07,Riverside,Public Health,Open garbage,medium,Resolved,Health Dept,Resident reported repeatedly this month.
2026-05-18,Old Town,Waste Collection,Delayed collection,high,Open,Sanitation Dept,
2026-05-29,Green Valley,Sanitation,Foul smell,low,In Progress,Sanitation Dept,Reported via city helpline.
2026-06-12,Harbor District,Water Supply,No supply,low,Open,Water Board,Reported via city helpline.
2026-07-03,Riverside,Waste Collection,Delayed collection,high,Resolved,Sanitation Dept,Affects a school zone nearby.
2026-06-29,Riverside,Waste Collection,Illegal dumping,high,Resolved,Sanitation Dept,Photo evidence attached by citizen.
2026-05-14,Riverside,Water Supply,Low pressure,low,Open,Water Board,Third complaint from the same street.
2026-06-16,Oak Hill,Water Supply,Leak,high,Open,Water Board,Flagged by community volunteer.
2026-06-28,Riverside,Waste Collection,Delayed collection,high,Resolved,Sanitation Dept,Flagged by community volunteer.
2026-06-05,Old Town,Sanitation,Blocked sewer,medium,In Progress,Sanitation Dept,Reported via city helpline.
2026-06-18,Riverside,Public Health,Food safety,high,Open,Health Dept,Resident reported repeatedly this month.
2026-06-29,Riverside,Water Supply,No supply,medium,Resolved,Water Board,Recurring issue during monsoon.
2026-06-06,Green Valley,Public Health,Food safety,high,Open,Health Dept,
2026-06-15,Old Town,Waste Collection,Illegal dumping,low,Resolved,Sanitation Dept,
2026-06-12,Riverside,Sanitation,Blocked sewer,low,In Progress,Sanitation Dept,Affects a school zone nearby.
2026-06-18,Riverside,Public Health,Open garbage,medium,Escalated,Health Dept,Third complaint from the same street.
2026-06-13,Midtown,Sanitation,Stagnant water,low,In Progress,Sanitation Dept,Affects a school zone nearby.
2026-05-15,Lakeside,Waste Collection,Missed pickup,low,Open,Sanitation Dept,Third complaint from the same street.
2026-05-23,Riverside,Water Supply,Contaminated water,medium,Resolved,Water Board,
2026-06-18,Harbor District,Noise,Industrial noise,medium,Resolved,Environment Cell,Resident reported repeatedly this month.
2026-06-04,Old Town,Roads,Pothole,low,In Progress,Public Works,Photo evidence attached by citizen.
2026-06-28,Riverside,Waste Collection,Delayed collection,high,In Progress,Sanitation Dept,
2026-05-11,Old Town,Sanitation,Stagnant water,low,Resolved,Sanitation Dept,Recurring issue during monsoon.
2026-06-25,North Gate,Water Supply,No supply,medium,Resolved,Water Board,Flagged by community volunteer.
2026-05-19,Oak Hill,Water Supply,Low pressure,low,In Progress,Water Board,Escalated after no response in 72 hours.
2026-05-30,Harbor District,Noise,Industrial noise,high,Open,Environment Cell,Recurring issue during monsoon.
2026-07-02,Riverside,Waste Collection,Missed pickup,high,Resolved,Sanitation Dept,Resident reported repeatedly this month.
2026-07-04,Riverside,Waste Collection,Illegal dumping,high,Resolved,Sanitation Dept,Affects a school zone nearby.
2026-06-28,Old Town,Water Supply,Contaminated water,medium,Open,Water Board,
2026-05-17,Green Valley,Roads,Broken streetlight,critical,Open,Public Works,Recurring issue during monsoon.
2026-06-29,Oak Hill,Water Supply,No supply,low,Open,Water Board,Escalated after no response in 72 hours.
2026-06-17,Lakeside,Sanitation,Stagnant water,medium,In Progress,Sanitation Dept,Third complaint from the same street.
2026-06-16,Riverside,Waste Collection,Delayed collection,low,Resolved,Sanitation Dept,Reported via city helpline.
2026-05-11,Green Valley,Roads,Broken streetlight,high,In Progress,Public Works,Resident reported repeatedly this month.
2026-05-27,Riverside,Sanitation,Public toilet issue,medium,Resolved,Sanitation Dept,Third complaint from the same street.
2026-05-11,Old Town,Waste Collection,Overflowing bin,high,Open,Sanitation Dept,Reported via city helpline.
2026-06-05,Midtown,Water Supply,Contaminated water,low,Open,Water Board,Third complaint from the same street.
2026-05-22,Riverside,Public Health,Mosquito breeding,medium,Resolved,Health Dept,Third complaint from the same street.
2026-06-13,North Gate,Public Health,Open garbage,high,In Progress,Health Dept,Recurring issue during monsoon.
2026-06-25,Riverside,Sanitation,Public toilet issue,medium,Open,Sanitation Dept,Reported via city helpline.
2026-07-03,Riverside,Waste Collection,Delayed collection,high,In Progress,Sanitation Dept,Affects a school zone nearby.
2026-07-01,Old Town,Noise,Industrial noise,low,Open,Environment Cell,Photo evidence attached by citizen.
2026-06-06,Riverside,Water Supply,Low pressure,high,In Progress,Water Board,Photo evidence attached by citizen.
2026-06-12,Riverside,Public Health,Mosquito breeding,low,Escalated,Health Dept,Escalated after no response in 72 hours.
2026-06-27,Riverside,Water Supply,Leak,high,In Progress,Water Board,Flagged by community volunteer.
2026-06-07,Harbor District,Roads,Pothole,medium,Resolved,Public Works,Recurring issue during monsoon.
2026-05-10,Midtown,Roads,Damaged signage,high,Resolved,Public Works,
2026-06-22,Old Town,Waste Collection,Overflowing bin,medium,Resolved,Sanitation Dept,Reported via city helpline.
2026-07-03,Riverside,Waste Collection,Illegal dumping,high,In Progress,Sanitation Dept,Photo evidence attached by citizen.
2026-07-01,Riverside,Waste Collection,Illegal dumping,high,Open,Sanitation Dept,Affects a school zone nearby.
2026-05-22,Oak Hill,Water Supply,No supply,high,Escalated,Water Board,Photo evidence attached by citizen.
2026-05-27,Riverside,Public Health,Stray animals,medium,Resolved,Health Dept,Third complaint from the same street.
2026-06-23,North Gate,Roads,Blocked drain,medium,Open,Public Works,Escalated after no response in 72 hours.
2026-07-01,North Gate,Water Supply,Low pressure,medium,In Progress,Water Board,Photo evidence attached by citizen.
2026-05-16,Harbor District,Waste Collection,Illegal dumping,low,Resolved,Sanitation Dept,Affects a school zone nearby.
2026-05-19,Harbor District,Public Health,Food safety,critical,Open,Health Dept,Escalated after no response in 72 hours.
2026-06-22,Riverside,Sanitation,Foul smell,high,In Progress,Sanitation Dept,
2026-06-11,Lakeside,Sanitation,Blocked sewer,low,Resolved,Sanitation Dept,
2026-06-09,Riverside,Roads,Blocked drain,medium,In Progress,Public Works,Flagged by community volunteer.
2026-06-03,Old Town,Sanitation,Stagnant water,critical,Open,Sanitation Dept,Recurring issue during monsoon.
2026-06-03,Harbor District,Public Health,Stray animals,low,In Progress,Health Dept,Affects a school zone nearby.
2026-05-19,Midtown,Public Health,Open garbage,high,Open,Health Dept,Resident reported repeatedly this month.
2026-07-02,Riverside,Roads,Broken streetlight,medium,In Progress,Public Works,Resident reported repeatedly this month.
2026-06-17,Old Town,Roads,Blocked drain,medium,Escalated,Public Works,Photo evidence attached by citizen.
2026-06-28,Harbor District,Noise,Late-night party,high,Resolved,Environment Cell,Reported via city helpline.
2026-06-30,Riverside,Waste Collection,Delayed collection,high,Open,Sanitation Dept,Escalated after no response in 72 hours.
2026-07-03,Midtown,Roads,Pothole,high,In Progress,Public Works,Escalated after no response in 72 hours.
2026-06-05,Riverside,Sanitation,Stagnant water,medium,Resolved,Sanitation Dept,Reported via city helpline.
2026-06-28,Riverside,Waste Collection,Delayed collection,high,Open,Sanitation Dept,
2026-05-11,Lakeside,Water Supply,Contaminated water,medium,In Progress,Water Board,Affects a school zone nearby.
2026-05-14,Green Valley,Public Health,Stray animals,low,In Progress,Health Dept,Photo evidence attached by citizen.
2026-06-20,Midtown,Noise,Loud construction,medium,Resolved,Environment Cell,Resident reported repeatedly this month.
2026-06-21,Riverside,Water Supply,Low pressure,medium,In Progress,Water Board,Resident reported repeatedly this month.
2026-06-16,Oak Hill,Water Supply,Low pressure,low,Resolved,Water Board,Reported via city helpline.
2026-05-30,Midtown,Noise,Industrial noise,low,Open,Environment Cell,Photo evidence attached by citizen.
2026-05-13,Riverside,Waste Collection,Overflowing bin,low,In Progress,Sanitation Dept,Escalated after no response in 72 hours.
2026-07-01,Riverside,Waste Collection,Illegal dumping,high,Open,Sanitation Dept,Reported via city helpline.
2026-06-18,Riverside,Public Health,Food safety,medium,In Progress,Health Dept,Resident reported repeatedly this month.
2026-05-30,Riverside,Water Supply,Contaminated water,low,Open,Water Board,Recurring issue during monsoon.
2026-06-28,Riverside,Waste Collection,Overflowing bin,high,Open,Sanitation Dept,Recurring issue during monsoon.
2026-06-03,Harbor District,Waste Collection,Overflowing bin,medium,In Progress,Sanitation Dept,Photo evidence attached by citizen.
2026-07-03,Riverside,Waste Collection,Overflowing bin,high,Open,Sanitation Dept,
2026-06-17,North Gate,Waste Collection,Illegal dumping,low,Resolved,Sanitation Dept,Resident reported repeatedly this month.
2026-06-28,Oak Hill,Waste Collection,Delayed collection,medium,Resolved,Sanitation Dept,Flagged by community volunteer.
2026-06-10,Riverside,Public Health,Open garbage,low,Resolved,Health Dept,Third complaint from the same street.
2026-06-25,Green Valley,Noise,Loud construction,low,Resolved,Environment Cell,Flagged by community volunteer.
2026-06-06,Green Valley,Water Supply,No supply,low,In Progress,Water Board,
2026-06-05,Riverside,Water Supply,Low pressure,high,In Progress,Water Board,
2026-05-23,Oak Hill,Sanitation,Stagnant water,high,Open,Sanitation Dept,Resident reported repeatedly this month.
2026-05-27,Harbor District,Noise,Traffic noise,medium,Open,Environment Cell,Reported via city helpline.
2026-05-15,North Gate,Roads,Blocked drain,medium,In Progress,Public Works,
2026-06-28,Riverside,Waste Collection,Delayed collection,high,Resolved,Sanitation Dept,Resident reported repeatedly this month.
2026-06-27,Harbor District,Public Health,Open garbage,low,Open,Health Dept,Photo evidence attached by citizen.
2026-06-30,Riverside,Waste Collection,Overflowing bin,high,In Progress,Sanitation Dept,Escalated after no response in 72 hours.
2026-06-23,Oak Hill,Public Health,Mosquito breeding,low,Open,Health Dept,Third complaint from the same street.
2026-06-09,North Gate,Water Supply,Low pressure,high,Open,Water Board,Escalated after no response in 72 hours.
2026-07-02,North Gate,Sanitation,Stagnant water,high,Resolved,Sanitation Dept,Escalated after no response in 72 hours.
2026-05-15,Midtown,Public Health,Stray animals,high,Resolved,Health Dept,Escalated after no response in 72 hours.
2026-07-01,Lakeside,Waste Collection,Overflowing bin,medium,Resolved,Sanitation Dept,Reported via city helpline.
2026-05-29,Lakeside,Roads,Pothole,medium,Open,Public Works,
2026-06-29,North Gate,Roads,Broken streetlight,medium,In Progress,Public Works,Photo evidence attached by citizen.
2026-06-23,North Gate,Noise,Late-night party,low,Resolved,Environment Cell,Reported via city helpline.
2026-05-14,Riverside,Roads,Blocked drain,high,Resolved,Public Works,Photo evidence attached by citizen.
2026-06-16,Oak Hill,Water Supply,Low pressure,low,Resolved,Water Board,Affects a school zone nearby.
2026-06-24,Green Valley,Water Supply,Contaminated water,low,Open,Water Board,Third complaint from the same street.
2026-06-25,Old Town,Sanitation,Foul smell,low,Escalated,Sanitation Dept,Third complaint from the same street.
2026-05-12,Midtown,Roads,Broken streetlight,medium,Resolved,Public Works,Third complaint from the same street.
2026-06-25,Riverside,Public Health,Open garbage,low,Open,Health Dept,Flagged by community volunteer.
2026-06-03,Green Valley,Sanitation,Blocked sewer,medium,Open,Sanitation Dept,Photo evidence attached by citizen.
2026-06-03,Riverside,Sanitation,Foul smell,medium,In Progress,Sanitation Dept,
2026-06-06,Riverside,Waste Collection,Delayed collection,high,Open,Sanitation Dept,Flagged by community volunteer.
2026-06-06,Riverside,Public Health,Stray animals,medium,Open,Health Dept,
2026-07-02,Lakeside,Roads,Blocked drain,low,Resolved,Public Works,Affects a school zone nearby.
2026-06-17,Lakeside,Noise,Traffic noise,high,Open,Environment Cell,Escalated after no response in 72 hours.
2026-06-22,Riverside,Roads,Broken streetlight,high,Open,Public Works,
2026-06-06,Harbor District,Public Health,Stray animals,medium,Resolved,Health Dept,Photo evidence attached by citizen.
2026-05-16,Riverside,Public Health,Food safety,medium,In Progress,Health Dept,Photo evidence attached by citizen.
2026-06-29,Riverside,Waste Collection,Overflowing bin,high,Open,Sanitation Dept,Flagged by community volunteer.
2026-05-31,Green Valley,Water Supply,Low pressure,medium,In Progress,Water Board,Escalated after no response in 72 hours.
2026-06-24,Riverside,Sanitation,Stagnant water,high,In Progress,Sanitation Dept,Flagged by community volunteer.
2026-06-09,Midtown,Water Supply,Low pressure,low,Open,Water Board,Escalated after no response in 72 hours.
2026-06-24,Midtown,Noise,Late-night party,low,Open,Environment Cell,Reported via city helpline.
2026-05-19,Riverside,Waste Collection,Delayed collection,high,In Progress,Sanitation Dept,Escalated after no response in 72 hours.
2026-06-22,Oak Hill,Roads,Broken streetlight,medium,Resolved,Public Works,Affects a school zone nearby.
2026-06-14,Green Valley,Roads,Pothole,medium,Open,Public Works,Flagged by community volunteer.
2026-05-20,North Gate,Water Supply,No supply,low,Open,Water Board,Recurring issue during monsoon.
2026-06-05,Green Valley,Water Supply,Contaminated water,medium,Open,Water Board,Third complaint from the same street.
2026-06-09,Riverside,Sanitation,Blocked sewer,medium,In Progress,Sanitation Dept,Third complaint from the same street.
2026-05-31,Riverside,Public Health,Stray animals,critical,In Progress,Health Dept,Flagged by community volunteer.
2026-05-14,Midtown,Roads,Pothole,low,Resolved,Public Works,Photo evidence attached by citizen.
